
time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,
10.083307,-0.1130,1.0283,-0.0034,0.0425,-0.7094,0.0176,9.4940,-42.8957,-22.1942,
10.102650,-0.1130,1.0283,-0.0034,0.0425,-0.7094,0.0176,8.7245,-43.2851,-22.0524,
10.106424,-0.0923,1.0224,-0.0766,0.0425,-0.7094,0.0176,8.7245,-43.2851,-22.0524,
10.120802,-0.0923,1.0224,-0.0766,-0.0448,-0.6626,0.0279,8.7245,-43.2851,-22.0524,
10.122618,-0.0923,1.0224,-0.0766,-0.0448,-0.6626,0.0279,9.0755,-43.7360,-21.5957,
10.123927,-0.0923,1.0224,-0.0766,-0.0448,-0.6626,0.0279,9.0755,-43.7360,-21.5957,
10.145123,-0.0923,1.0224,-0.0766,-0.0448,-0.6626,0.0279,7.7228,-42.7898,-23.2602,
10.162983,-0.0923,1.0224,-0.0766,-0.0448,-0.6626,0.0279,7.2071,-44.6243,-22.3515,
10.180368,-0.0923,1.0224,-0.0766,-0.0448,-0.6626,0.0279,8.7191,-43.6862,-23.6737,
10.187145,-0.0917,1.0273,0.0061,-0.0448,-0.6626,0.0279,8.7191,-43.6862,-23.6737,
10.192379,-0.0917,1.0273,0.0061,-0.0448,-0.6626,0.0279,8.7191,-43.6862,-23.6737,
10.202023,-0.0917,1.0273,0.0061,-0.0018,-0.6357,0.0058,8.7191,-43.6862,-23.6737,
10.209919,-0.0917,1.0273,0.0061,-0.0018,-0.6357,0.0058,6.8750,-44.5961,-23.0972,
10.220543,-0.0917,1.0273,0.0061,-0.0018,-0.6357,0.0058,8.2844,-44.2415,-23.0800,
10.239189,-0.0830,1.0266,-0.0412,-0.0018,-0.6357,0.0058,8.2844,-44.2415,-23.0800,
10.240884,-0.0830,1.0266,-0.0412,-0.0018,-0.6357,0.0058,8.7407,-43.9760,-23.3729,
10.242142,-0.0830,1.0266,-0.0412,-0.0018,-0.6357,0.0058,8.7407,-43.9760,-23.3729,
10.258467,-0.0830,1.0266,-0.0412,-0.0446,-0.6363,0.0257,8.7407,-43.9760,-23.3729,
10.260310,-0.0830,1.0266,-0.0412,-0.0446,-0.6363,0.0257,8.7218,-43.9592,-24.4092,
10.279214,-0.0830,1.0266,-0.0412,-0.0446,-0.6363,0.0257,7.0910,-42.8975,-23.4167,
10.296137,-0.0655,1.0276,0.0207,-0.0446,-0.6363,0.0257,7.0910,-42.8975,-23.4167,
10.297523,-0.0655,1.0276,0.0207,-0.0446,-0.6363,0.0257,7.0910,-42.8975,-23.4167,
10.298086,-0.0655,1.0276,0.0207,-0.0446,-0.6363,0.0257,5.3171,-42.1127,-22.4220,
10.320238,-0.0655,1.0276,0.0207,-0.0446,-0.6363,0.0257,8.4626,-44.4017,-22.4828,
10.337919,-0.0655,1.0276,0.0207,-0.0302,-0.6717,0.0107,8.4626,-44.4017,-22.4828,
10.339914,-0.0655,1.0276,0.0207,-0.0302,-0.6717,0.0107,5.1065,-44.0867,-22.6899,
10.358911,-0.0655,1.0276,0.0207,-0.0302,-0.6717,0.0107,5.1065,-44.0867,-22.6899,
10.360892,-0.0655,1.0276,0.0207,-0.0302,-0.6717,0.0107,5.9975,-43.5365,-24.4599,
10.382418,-0.0679,1.0192,0.0085,-0.0302,-0.6717,0.0107,5.9975,-43.5365,-24.4599,
10.384489,-0.0679,1.0192,0.0085,-0.0302,-0.6717,0.0107,6.7238,-45.2717,-24.8644,
10.396636,-0.0679,1.0192,0.0085,-0.0208,-0.7053,0.0071,6.7238,-45.2717,-24.8644,
